0.36,0.46,0.1,0.08,0.09,0.29,0.5,0.12,
0.16,0.08,0.58,0.19,0.09,0.63,0.2,0.08,
0.64,0.02,0.25,0.09,0.02,0.16,0.3,0.52,
0.21,0.61,0.13,0.05,0.32,0.19,0.1,0.39,
0.33,0.35,0.18,0.14,0.05,0.33,0.56,0.07,
0.2,0.03,0.42,0.35,0.05,0.24,0.3,0.41,
0.13,0.01,0.42,0.43,0.02,0.1,0.68,0.2,
0.03,0.2,0.53,0.24,0.28,0.35,0.15,0.22,
0.07,0.26,0.2,0.47,0.26,0.31,0.33,0.11,
0.0,0.01,0.71,0.27,0.14,0.26,0.26,0.34,
0.6,0.14,0.23,0.02,0.01,0.25,0.36,0.37,
0.07,0.8,0.0,0.12,0.14,0.03,0.12,0.71,
0.38,0.48,0.08,0.06,0.13,0.06,0.15,0.65,
0.03,0.27,0.39,0.31,0.18,0.18,0.44,0.2,
0.37,0.06,0.24,0.34,0.81,0.03,0.05,0.11,
0.15,0.29,0.31,0.25,0.35,0.19,0.33,0.13,
0.09,0.05,0.51,0.35,0.46,0.18,0.23,0.12,
0.13,0.1,0.19,0.59,0.55,0.26,0.19,0.0,
0.38,0.31,0.15,0.16,0.27,0.14,0.24,0.35,
0.16,0.18,0.01,0.65,0.37,0.04,0.13,0.46,
0.42,0.07,0.06,0.45,0.21,0.07,0.32,0.4,
0.56,0.26,0.14,0.05,0.35,0.21,0.19,0.25,
0.24,0.39,0.24,0.13,0.05,0.08,0.46,0.41,
0.36,0.31,0.22,0.11,0.19,0.11,0.36,0.34,
0.4,0.35,0.01,0.24,0.62,0.31,0.0,0.07,
0.71,0.06,0.06,0.16,0.36,0.22,0.11,0.31,
0.01,0.43,0.16,0.4,0.15,0.54,0.12,0.18,
0.21,0.4,0.07,0.33,0.12,0.15,0.25,0.48,
0.15,0.05,0.76,0.04,0.26,0.41,0.26,0.07,
0.45,0.23,0.23,0.08,0.17,0.0,0.11,0.72,
0.09,0.5,0.06,0.35,0.27,0.02,0.36,0.34,
0.02,0.04,0.3,0.64,0.22,0.1,0.27,0.41,
0.29,0.2,0.24,0.27,0.22,0.17,0.26,0.35,
0.72,0.01,0.24,0.02,0.11,0.38,0.24,0.28,
0.05,0.54,0.24,0.17,0.14,0.45,0.28,0.14,
0.12,0.45,0.09,0.33,0.36,0.16,0.2,0.28,
0.14,0.2,0.03,0.62,0.59,0.01,0.29,0.1,
0.47,0.12,0.09,0.32,0.59,0.02,0.02,0.36,
0.07,0.72,0.15,0.06,0.04,0.07,0.61,0.28,
0.08,0.39,0.41,0.11,0.44,0.36,0.11,0.09,
0.07,0.01,0.75,0.17,0.04,0.22,0.08,0.65,
0.05,0.03,0.42,0.5,0.18,0.36,0.07,0.38,
0.11,0.25,0.49,0.15,0.43,0.41,0.0,0.16,
0.02,0.09,0.61,0.28,0.34,0.08,0.37,0.22,
0.24,0.59,0.06,0.11,0.5,0.33,0.02,0.14,
0.2,0.05,0.25,0.51,0.32,0.25,0.03,0.4,
0.19,0.23,0.2,0.38,0.33,0.03,0.49,0.16,
0.03,0.0,0.28,0.69,0.05,0.19,0.64,0.11,
0.61,0.28,0.02,0.09,0.3,0.25,0.24,0.2,
0.52,0.24,0.16,0.09,0.53,0.42,0.03,0.02,
0.65,0.24,0.02,0.08,0.49,0.15,0.05,0.31,
0.51,0.23,0.02,0.23,0.44,0.11,0.22,0.22,
0.09,0.03,0.38,0.5,0.81,0.0,0.12,0.06,
0.16,0.14,0.52,0.17,0.22,0.25,0.38,0.14,
0.57,0.18,0.08,0.18,0.29,0.18,0.35,0.17,
0.26,0.34,0.19,0.22,0.28,0.12,0.06,0.54,
0.34,0.12,0.03,0.51,0.42,0.1,0.43,0.05,
0.42,0.27,0.29,0.02,0.22,0.49,0.29,0.0,
0.65,0.05,0.06,0.24,0.32,0.13,0.19,0.36,
0.27,0.31,0.13,0.29,0.35,0.48,0.06,0.11,
0.4,0.09,0.16,0.34,0.21,0.32,0.13,0.34,
0.2,0.37,0.39,0.04,0.06,0.37,0.33,0.25,
0.01,0.13,0.51,0.35,0.03,0.61,0.09,0.27,
0.52,0.22,0.03,0.24,0.18,0.43,0.09,0.3,
0.28,0.56,0.15,0.01,0.03,0.55,0.07,0.34,
0.08,0.15,0.07,0.69,0.18,0.24,0.24,0.34,
0.57,0.27,0.13,0.03,0.52,0.39,0.01,0.08,
0.23,0.59,0.0,0.18,0.49,0.09,0.31,0.11,
0.15,0.58,0.2,0.07,0.1,0.63,0.2,0.08,
0.22,0.47,0.02,0.28,0.64,0.17,0.14,0.06,
0.09,0.16,0.3,0.45,0.42,0.03,0.42,0.13,
0.26,0.44,0.1,0.2,0.37,0.09,0.49,0.04,
0.22,0.17,0.12,0.49,0.05,0.6,0.07,0.27,
0.31,0.02,0.65,0.02,0.23,0.17,0.09,0.51,
0.41,0.41,0.03,0.15,0.16,0.1,0.56,0.18,
0.03,0.5,0.07,0.4,0.16,0.48,0.27,0.1,
0.05,0.19,0.47,0.29,0.5,0.01,0.12,0.36,
0.01,0.06,0.03,0.91,0.16,0.6,0.21,0.03,
0.03,0.5,0.15,0.32,0.01,0.17,0.53,0.29,
0.22,0.65,0.05,0.08,0.13,0.54,0.04,0.29,
0.23,0.29,0.01,0.47,0.22,0.22,0.34,0.22,
0.17,0.16,0.33,0.34,0.06,0.13,0.33,0.48,
0.21,0.68,0.1,0.02,0.03,0.41,0.11,0.45,
0.08,0.25,0.39,0.29,0.09,0.66,0.15,0.11,
0.13,0.23,0.59,0.04,0.09,0.14,0.65,0.11,
0.71,0.1,0.09,0.1,0.4,0.37,0.15,0.09,
0.37,0.46,0.05,0.12,0.56,0.33,0.04,0.07,
0.14,0.1,0.19,0.57,0.14,0.38,0.05,0.43,
0.11,0.11,0.45,0.32,0.13,0.08,0.66,0.13,
0.46,0.18,0.09,0.27,0.27,0.02,0.46,0.25,
0.28,0.54,0.03,0.15,0.0,0.74,0.04,0.22,
0.09,0.12,0.35,0.43,0.89,0.06,0.03,0.02,
0.1,0.18,0.29,0.43,0.16,0.71,0.04,0.1,
0.18,0.36,0.03,0.42,0.62,0.17,0.08,0.13,
0.2,0.22,0.28,0.31,0.14,0.33,0.14,0.38,
0.22,0.32,0.24,0.22,0.02,0.21,0.74,0.04,
0.15,0.26,0.03,0.57,0.09,0.3,0.58,0.04,
0.05,0.31,0.39,0.25,0.62,0.15,0.13,0.1,
0.14,0.31,0.04,0.5,0.72,0.01,0.17,0.1,
0.02,0.03,0.52,0.42,0.53,0.3,0.13,0.04,
